Security Code,Security Id,Security Name
502563,SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.
502587,NATHIND,Nath Industries Ltd
502589,VAPIPPR,VAPI PAPER MILLS LTD.
502742,SINTEX,SINTEX INDUSTRIES LTD.
502820,DCM,DCM LTD.
502850,ZGAEKWAR,GAEKWAR MILLS LTD.
502865,FORBESCO,FORBES & COMPANY LTD.-$
502873,HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.
502893,UNITEDINT,UNITED INTERACTIVE LTD.
502901,JAMSHRI,Jamshri Realty Ltd-$
502933,KATRSPG,KATARE SPINNING MILLS LTD.
502937,KESORAMIND,KESORAM INDUSTRIES LTD.
502958,LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.-$
502986,VTL,VARDHMAN TEXTILES LTD.
503015,MODERN,MODERN INDIA LTD.-$
503031,PENINLAND,PENINSULA LAND LTD.
503100,PHOENIXLTD,The Phoenix Mills Ltd
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.
503127,RAJABAH,RAJA BAHADUR INTERNATIONAL LTD.
503162,RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES LTD.-$
503169,RUBYMILLS,RUBY MILLS LTD.
503229,SIMPLXREA,SIMPLEX REALTY LTD.
503310,SWANENERGY,SWAN ENERGY LTD.
503349,VICTMILL,VICTORIA MILLS LTD.
503622,ZSVTRADI,S.V.TRADING & AGENCIES LTD.
503624,ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.
503635,SALSAIN,SHREE SALASAR INVESTMENT LTD.
503639,INDSOYA,INDSOYA LTD.
503641,ZODIACVEN,Zodiac Ventures Limited
503657,VEERENRGY,VEER ENERGY & INFRASTRUCTURE LTD.
503659,SW1,SW Investments Ltd
503669,KKFIN,K K Fincorp Limited
503671,UNIJOLL,UNIJOLLY INVESTMENTS CO.LTD.
503675,WAGEND,Wagend Infra Venture Limited
503681,ELCIDIN,ELCID INVESTMENTS LTD.
503689,HEALINV,HEALTHY INVESTMENTS LTD.
503691,SAHARA,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$
503696,SHRENTI,SHREENATH INVESTMENTS CO.LTD.
503722,BANSWRAS,BANSWARA SYNTEX LTD.-$
503772,MODWOOL,MODELLA WOOLLENS LTD.
503776,MODIPON,MODIPON LTD.
503804,SHRIDINE,SHRI DINESH MILLS LTD.-$
503806,SRF,SRF LTD.
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$
503816,SWADPOL,SWADESHI POLYTEX LTD.
503831,FOMEHOT,FOMENTO RESORTS & HOTELS LTD.
503837,SHRAJSYNQ,SHREE RAJASTHAN SYNTEX LTD.-$
503863,SHRMFGC,SHREE MANUFACTURING CO.LTD.
503893,ZSATYASL,SATYAM SILK MILLS LTD.
503960,BBL,BHARAT BIJLEE LTD.-$
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.
504008,EMCO,EMCO LTD.-$
504028,GEE,GEE LTD.
504036,HIRECT,HIND RECTIFIERS LTD.
504058,NIPPOBATRY,INDO-NATIONAL LTD.
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.
504076,JYOTI,JYOTI LTD.-$
504080,JSLINDL,JSL INDUSTRIES LTD.
504084,KAYCEEI,KAYCEE INDUSTRIES LTD.
504092,INDOKEM,INDOKEM LTD.
504093,PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$
504112,NELCO,NELCO LTD.
504132,PERMAGN,PERMANENT MAGNETS LTD.-$
504176,HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.
